rxn_formula,example reaction id,using dS_f data,extend of using dS_f data,dS_r_from_slope,dS_r_from_dG_r_and_dH_r,median_dG_r,rxn_formula_name,enzyme name,EC number
PBC_102871 = CHB_15377 + MAN_10003,Keq_2045,101.2602552,0.333333333,69.98750103,,-2267.706161,g-fluoroglutamate(aq) = cis-D-3-fluoro-2-pyrrolidone-5-carboxylate(aq) + H2O(l),D-glutamate cyclase,4.2.1.48
CHB_52742 = CHB_17363,Keq_755,71.36816048,0.5,62.77582604,,4214.757932,D-ribose 5-phosphate(aq) = D-ribulose 5-phosphate(aq),ribose-5-phosphate isomerase,5.3.1.6
CHB_16977 + CHB_30841 = CHB_15361 + CHB_17115,Keq_3144,33.20143662,0.75,58.99309949,,-3576.400835,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),serine-pyruvate transaminase,2.6.1.51
CHB_46994 = CHB_28552,Keq_43,48.6,1,54.51697691,,8142.762975,D-arabinose(aq) = D-ribulose(aq),xylose isomerase,5.3.1.5
CHB_29052 = CHB_16108,Keq_337,23.39415185,0,42.20669353,,-7321.453694,D-glyceraldehyde 3-phosphate(aq) = glycerone phosphate(aq),triose-phosphate isomerase,5.3.1.1
CHB_53455 = CHS_388344,Keq_2963,39.4,1,42.08408201,44.00374436,4089.818163,D-xylose(aq) = D-xylulose(aq),xylose isomerase,5.3.1.5
CHB_15377 + CHB_28189 = 2 CHB_4167,Keq_3859,41.1724342,1,41.47023272,35.84940945,-7052.413832,isomaltose(aq) + H2O(l) = 2 D-glucose(aq),"oligo-1,6-glucosidase",3.2.1.10
CHB_15377 + CHB_28066 = 2 CHB_4167,Keq_3858,40.16464264,0.666666667,33.60184904,31.09907048,-7123.448976,gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),_-glucosidase,3.2.1.21
CHB_15377 + CHB_16551 = 2 CHB_4167,Keq_3917,19.34691419,0.666666667,33.11235059,55.86696996,-11847.23889,",-trehalose(aq) + H2O(l) = 2 D-glucose(aq)",_-amylase,3.2.1.2
CHB_4093 = CHS_9553766,Keq_3593,-9.273129678,0,32.33591172,,-2528.703785,D-allose(aq) = D-psicose(aq),xylose isomerase,5.3.1.5
MAN_10212 = CHB_16023,Keq_48,88.52143691,0,29.33545256,,-1767.694016,D-erythrose(aq) = D-erythrulose(aq),xylose isomerase,5.3.1.5
CHB_15377 + CHB_36219 = CHB_4139 + CHB_4167,Keq_3700,71.3915012,1,28.73850912,31.12286505,-8741.694586,lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),_-galactosidase,3.2.1.23
CHB_46994 = CHB_45506,Keq_42,22.1408083,1,26.72596579,,3839.441354,D-arabinose(aq) = D-ribose(aq),xylose isomerase,5.3.1.5
CHB_45506 = CHB_28552,Keq_3492,26.4591917,1,26.19836495,32.64744519,2000.329714,D-ribose(aq) = D-ribulose(aq),ribose isomerase,5.3.1.20
CHB_29991 = CHB_16134 + CHB_29806,Keq_1287,35.761355,1,23.11092167,26.88836399,15136.78205,L-aspartate(aq) = fumarate(aq) + ammonia(aq),aspartate ammonia-lyase,4.3.1.1
CHB_4167 = CHB_37721,Keq_1425,8.1,1,13.87491418,15.44917825,556.0187881,D-glucose(aq) = D-fructose(aq),xylose isomerase,5.3.1.5
CHB_4208 = CHB_37721,Keq_1949,12.7,1,6.052742178,,-2721.385498,D-mannose(aq) = D-fructose(aq),mannose isomerase,5.3.1.7
2 CHB_16761 = CHB_15422 + CHB_16027,Keq_4107,-149.11776,1,-14.28063128,-147.1213761,41905.70785,2 ADP(aq) = AMP(aq) + ATP(aq),adenylate kinase,2.7.4.3
CHB_15846 + CHB_17824 = CHB_15347 + CHB_16908,Keq_575,-12.001607,1,-18.96116959,-16.81793725,48530.34761,2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_16134 + CHB_29748 = CHB_15377 + CHB_49197,Keq_1,26.60594174,0.5,-20.6076814,,-7091.251402,chorismate(aq) + ammonia(aq) = 2-amino-2-deoxyisochorismate(aq) + H2O(l),isochorismate synthase,5.4.99.6
CHB_15377 + CHB_29806 = CHB_15589,Keq_616,-43.3338918,1,-36.67788818,-42.85734174,-3621.916512,fumarate(aq) + H2O(l) = (S)-malate(aq),fumarate hydratase,4.2.1.2
CHB_15377 + CHB_18208 = CHB_16705 + CHB_30745,Keq_2556,-119.3469955,0.25,-40.01250402,-70.25643122,45220.71736,penicillin G(aq) + H2O(l) = 6-aminopenicillanic acid(aq) + phenylacetic acid(aq),penicillin amidase,3.5.1.11
CHB_15377 + CHB_15846 + CHB_29985 = CHB_16134 + CHB_16810 + CHB_16908,Keq_249,-92.9545188,1,-55.85761585,,93730.51,L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),glutamate dehydrogenase,1.4.1.2
CHB_15377 + MAN_10093 = CHB_16918 + CHB_28831,Keq_4163,-55.36174456,0.5,-72.10728686,-115.180551,19778.5154,"3,4,5-trihydroxybenzoic acid propyl ester(aq) + H2O(l) = 3,4,5-trihydroxybenzoate(aq) + propan-1-ol(aq)",tannase,3.1.1.20
CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,Keq_119,-47.001607,1,-76.74609858,,53110.62389,2-propanol(aq) + NADP(aq) = acetone(aq) + NADPH(aq),alcohol dehydrogenase,1.1.1.2
CHB_17835 = CHB_17794,Keq_937,-151.6558185,0,-78.92287224,,37176.43057,2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),phosphoglycerate mutase,5.4.2.1
CHB_15422 + CHS_61787 = CHB_18361 + MAN_10052,Keq_3987,-69.33405358,0.5,-84.18800582,,11801.84073,3-hydroxy-4-methylbenzoic acid(aq) + ATP(aq) = 3-hydroxy-4-methylbenzoic acid adenylate(aq) + pyrophosphate(aq),actinomycin synthetase I,2.7.2
CHB_15377 + PBC_78357834 = CHB_17306 + CHB_495055,Keq_4018,-7.971614696,0.5,-93.67216349,,-16219.57363,maltosyl--cyclomaltoheptaose(aq) + H2O(l) = cyclomaltoheptaose(aq) + maltose(aq),"-dextrin endo-1,6--glucosidase",3.2.1.41
CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,Keq_248,-54.028,1,-101.293449,-57.41961007,65251.34683,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_15422 + CHB_16467 = CHB_16761 + CHB_18412,Keq_4249,-97.59568088,0.75,-119.8579226,,40769.41079,ATP(aq) + L-arginine(aq) = ADP(aq) + Nomega-phospho-L-arginine(aq),arginine kinase,2.7.3.3
CHB_15377 + CHB_15428 + CHB_1989 = CHB_15635 + CHB_17115,Keq_1212,36.50365239,0.6,-127.1261848,,5754.71349,"5,10-methylenetetrahydrofolate(aq) + glycine(aq) + H2O(l) = tetrahydrofolate(aq) + L-serine(aq)",glycine hydroxymethyltransferase,2.1.2.1
CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,Keq_3454,-186.5630165,0.5,-166.8680832,,46785.69771,dihydro--lipoate(aq) + NAD(aq) = lipoate(aq) + NADH(aq),dihydrolipoamide dehydrogenase,1.8.1.4
CHB_15846 + CHB_16659 = CHB_16908 + CHB_30841,Keq_3100,-22.4907992,0.5,-171.6050893,,72714.0307,(R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq),glycerate dehydrogenase,1.1.1.29
2 CHB_16856 + CHB_18009 = CHB_16474 + CHB_17858,Keq_1355,-228.8868431,0.5,-203.6588241,-199.8163443,57857.83766,2 reduced glutathione(aq) + NADP(aq) = oxidized glutathione(aq) + NADPH(aq),glutathione reductase (NAD(P)H),1.6.4.2
CHB_15377 + MAN_10110 = CHB_16236 + CHB_16259,Keq_4114,-65.68933855,0.5,-214.0926076,,50686.27971,N-acetyl-L-phenylalanine ethyl ester(aq) + H2O(l) = N-acetyl-L-phenylalanine(aq) + ethanol(aq),chymotrypsin,3.4.21.1
CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,Keq_1160,-368.563242,1,-222.7496014,,64666.69807,ATP(aq) + pyruvate(aq) = ADP(aq) + phosphoenolpyruvate(aq),pyruvate kinase,2.7.1.40
CHB_15377 + CHB_18009 + CHB_29985 = CHB_16134 + CHB_16474 + CHB_16810,Keq_1568,-127.9545188,1,-254.8665227,-77.18179028,81541.0468,L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq),glutamate dehydrogenase (NADP+),1.4.1.4
CHB_15846 + CHB_15963 = CHB_16908 + CHB_28552,Keq_1168,-94.96388959,0.75,-263.2963683,,63193.77423,ribitol(aq) + NAD(aq) = D-ribulose(aq) + NADH(aq),ribitol dehydrogenase,1.1.1.56
CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,Keq_237,-23.12311747,0.75,-345.4757967,,66452.22366,sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),glycerol-3-phosphate dehydrogenase (NAD+),1.1.1.8
CHB_18009 + CHB_30633 = CHB_16474 + CHB_30912,Keq_3913,-137.1321349,0.5,-478.852986,,118428.3743,L-pipecolate(aq) + NADP(aq) = D-1-piperidine-2-carboxylate(aq) + NADPH(aq),1-piperidine-2-carboxylate reductase,1.5.1.21
CHB_15377 + CHB_40595 = CHB_26078 + CHB_61553,Keq_2886,145.9332556,1,,,-15282.40217,"D-fructose 1,6-bisphosphate(aq) + H2O(l) = D-fructose 6-phosphate(aq) + orthophosphate(aq)",fructose-biphosphatase,3.1.3.11
CHB_4170 = CHB_61553,Keq_432,27.268154,1,,,4268.863213,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),glucose-6-phosphate isomerase,5.3.1.9
CHB_15422 + CHB_16134 + CHB_29985 = CHB_16761 + CHB_18050 + CHB_26078,Keq_2097,-65.2908946,1,,,-16773.82191,ATP(aq) + L-glutamate(aq) + ammonia(aq) = ADP(aq) + orthophosphate(aq) + L-glutamine(aq),glutamate-ammonia ligase,6.3.1.2
CHB_16335 + CHB_26078 = CHB_16708 + CHB_35425,Keq_2929,-21.0671634,1,,,51940.14497,adenosine(aq) + orthophosphate(aq) = adenine(aq) + D-ribose 1-phosphate(aq),purine-nucleoside phosphorylase,2.4.2.1
CHB_16704 + CHB_26078 = CHB_17568 + CHB_35425,Keq_2252,-28.0962834,1,,,41345.00366,uridine(aq) + orthophosphate(aq) = uracil(aq) + D-ribose 1-phosphate(aq),uridine phosphorylase,2.4.2.3
CHB_15996 + CHB_16027 = CHB_16761 + CHB_17552,Keq_1914,152.716,1,,,-34715.97213,GTP(aq) + AMP(aq) = ADP(aq) + GDP(aq),nucleoside-triphosphate-adenylate kinase,2.7.4.10
CHB_15422 + CHB_63528 = CHB_16761 + CHB_18075,Keq_1407,154.01304,1,,,-41465.55093,ATP(aq) + dTMP(aq) = ADP(aq) + dTDP(aq),(deoxy)nucleoside-phosphate kinase,2.7.4.13
CHB_15377 + CHB_17562 = CHB_16134 + CHB_16704,Keq_1983,33.8979402,1,,,-64527.52003,cytidine(aq) + H2O(l) = uridine(aq) + ammonia(aq),cytidine deaminase,3.5.4.5
CHB_15422 + CHB_17361 = CHB_16761 + CHB_17239,Keq_1319,155.72848,1,,,-39226.61953,ATP(aq) + CMP(aq) = ADP(aq) + CDP(aq),cytidylate kinase,2.7.4.14
CHB_16750 + CHB_26078 = CHB_16235 + CHB_35425,Keq_1289,-35.1254034,1,,,49522.4841,guanosine(aq) + orthophosphate(aq) = guanine(aq) + D-ribose 1-phosphate(aq),guanosine phosphorylase,2.4.2.15
CHB_15422 + CHB_15918 = CHB_16761 + CHB_28846,Keq_1077,155.72848,1,,,-45081.81984,ATP(aq) + dCMP(aq) = ADP(aq) + dCDP(aq),cytidylate kinase,2.7.4.14
CHB_15377 + CHB_17202 = CHB_17596 + CHB_26078,Keq_4066,48.2642956,1,,,-44510.92286,IMP(aq) + H2O(l) = inosine(aq) + orthophosphate(aq),alkaline phosphatase,3.1.3.1
CHB_15422 + CHB_4167 = CHB_16761 + CHB_4170,Keq_930,-140.918703,1,-320.9936997,-320.9936997,18998.42358,ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),hexokinase,2.7.1.1
CHB_15377 + CHB_16027 = CHB_16335 + CHB_26078,Keq_3997,40.4463256,1,175.7318687,175.7318687,-54699.98487,AMP(aq) + H2O(l) = adenosine(aq) + orthophosphate(aq),5'-nucleosidase,3.1.3.5
CHB_15377 + CHB_4170 = CHB_26078 + CHB_4167,Keq_2897,39.2345486,1,177.3222004,177.3222004,-51162.51744,D-glucose 6-phosphate(aq) + H2O(l) = D-glucose(aq) + orthophosphate(aq),alkaline phosphatase,3.1.3.1
CHB_15377 + CHB_16039 = CHB_17202 + CHB_18361,Keq_2923,-220.1576388,1,,,85100.55501,ITP(aq) + H2O(l) = IMP(aq) + pyrophosphate(aq),inosine triphosphate pyrophosphohydrolase,3.6.1.19
CHB_15377 + CHB_43896 = CHB_26078 + CHB_4208,Keq_404,39.1289306,1,,,-49448.82751,D-mannose 6-phosphate(aq) + H2O(l) = D-mannose(aq) + orthophosphate(aq),alkaline phosphatase,3.1.3.1
CHB_15422 + CHB_17345 = CHB_16761 + CHB_17552,Keq_2037,160.16352,1,,,-41781.16891,ATP(aq) + GMP(aq) = ADP(aq) + GDP(aq),guanylate kinase,2.7.4.8
CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,Keq_1678,36.5339702,1,172.9912455,172.9912455,-60946.10957,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),adenosine deaminase,3.5.4.4
CHB_15377 + CHB_15422 = CHB_16761 + CHB_26078,Keq_3385,-101.6841544,1,,,-28902.91268,ATP(aq) + H2O(l) = ADP(aq) + orthophosphate(aq),Ca2+-transporting ATPase,3.6.1.38
CHB_15377 + CHB_61553 = CHB_26078 + CHB_37721,Keq_3682,20.0663946,1,155.2656787,155.2656787,-53841.75989,D-fructose 6-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),alkaline phosphatase,3.1.3.1
CHB_15377 + CHB_16452 + CHB_18361 = CHB_17544 + CHB_18021 + CHB_26078,Keq_1520,-434.4792887,1,,,5631.649014,diphosphate(aq) + oxaloacetate(aq) + H2O(l) = orthophosphate(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),phosphoenolpyruvate carboxykinase (diphosphate),4.1.1.38
CHB_15377 + CHB_16027 = CHB_16708 + CHB_52742,Keq_3543,1.2167402,1,,,-15758.66218,AMP(aq) + H2O(l) = adenine(aq) + D-ribose 5-phosphate(aq),AMP nucleosidase,3.2.2.4
2 CHB_16174 = CHB_16284 + CHB_17713,Keq_1814,-149.11776,1,,,44734.118,2 dADP(aq) = dAMP(aq) + dATP(aq),adenylate kinase,2.7.4.3
CHB_15713 + CHB_16695 = 2 CHB_17659,Keq_763,148.1136,1,,,-26744.61009,UTP(aq) + UMP(aq) = 2 UDP(aq),nucleoside-phosphate kinase,2.7.4.4
CHB_15361 + CHB_15377 + CHB_15422 = CHB_16027 + CHB_18021 + CHB_26078,Keq_4246,-619.3651564,1,,,65328.13599,ATP(aq) + pyruvate(aq) + H2O(l) = AMP(aq) + phosphoenolpyruvate(aq) + orthophosphate(aq),"pyruvate, water dikinase",2.7.9.2
CHB_15740 + CHB_18009 = CHB_16474 + CHB_16526,Keq_3251,-53.0296,1,,,-5574.810215,formate(aq) + NADP(aq) = CO2(aq) + NADPH(aq),formate dehydrogenase (NADP+),1.2.1.43
CHB_18361 + CHB_61553 = CHB_26078 + CHB_40595,Keq_3254,-267.0132486,1,,,-31768.8825,"pyrophosphate(aq) + D-fructose 6-phosphate(aq) = orthophosphate(aq) + D-fructose 1,6-bisphosphate(aq)",pyrophosphate-fructose-6-phosphate 1-phosphotransferase,2.7.1.90
CHB_15589 + CHB_15846 + CHB_29985 = CHB_16810 + CHB_16908 + CHB_29991,Keq_2951,-85.381982,1,,,69835.06873,L-glutamate(aq) + (S)-malate(aq) + NAD(aq) = L-aspartate(aq) + 2-oxoglutarate(aq) + NADH(aq),malate dehydrogenase and aspartate aminotransferase,1.1.1.37
CHB_15377 + CHB_16039 + CHB_16452 = CHB_17544 + CHB_17808 + CHB_18021,Keq_1521,-402.3813521,1,,,27562.03475,ITP(aq) + oxaloacetate(aq) + H2O(l) = IDP(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),phosphoenolpyruvate carboxykinase (GTP),4.1.1.32
CHB_15740 + CHB_15846 = CHB_16526 + CHB_16908,Keq_2636,-18.0296,1,,,-13407.95937,formate(aq) + NAD(aq) = CO2(aq) + NADH(aq),formate dehydrogenase,1.2.1.2
CHB_15377 + CHB_16335 = CHB_16708 + CHB_45506,Keq_2928,-6.4436515,1,,,-9833.52049,adenosine(aq) + H2O(l) = adenine(aq) + D-ribose(aq),adenosine nucleosidase,3.2.2.7
CHB_15361 + CHB_15422 + CHB_17544 = CHB_16452 + CHB_16761 + CHB_26078,Keq_1515,-55.1639463,1,,,-3284.708434,ATP(aq) + pyruvate(aq) + carbon dioxide(aq) = ADP(aq) + orthophosphate(aq) + oxaloacetate(aq),pyruvate carboxylase,6.4.1.1
CHB_16908 + CHB_18009 = CHB_15846 + CHB_16474,Keq_582,-35,1,,,-3399.184644,NAD(aq) + NADPH(aq) = NADH(aq) + NADP(aq),NAD(P)+ transhydrogenase,1.6.1.1
CHB_15589 + CHB_15846 = CHB_15361 + CHB_16526 + CHB_16908,Keq_3250,112.00598,1,,,15684.28443,(S)-malate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq) + CO2(aq),malate dehydrogenase (decarboxylating),1.1.1.39
CHB_15422 + CHB_61553 = CHB_16761 + CHB_40595,Keq_2508,-247.61741,1,-191.05666,-191.05666,-12687.77374,"ATP(aq) + D-fructose 6-phosphate(aq) = ADP(aq) + D-fructose 1,6-bisphosphate(aq)",6-phosphofructokinase,2.7.1.11
CHB_15361 + CHB_15422 + CHB_26078 = CHB_16027 + CHB_18021 + CHB_18361,Keq_1788,-498.2851634,1,,,140022.1332,ATP(aq) + pyruvate(aq) + orthophosphate(aq) = AMP(aq) + phosphoenolpyruvate(aq) + pyrophosphate(aq),"pyruvate,orthophosphate dikinase",2.7.9.1
CHB_15377 + CHB_17306 = 2 CHB_4167,Keq_2762,63.3089422,1,32.07608788,32.07608788,-14171.81959,maltose(aq) + H2O(l) = 2 D-glucose(aq),"glucan 1,4--glucosidase",3.2.1.3
CHB_30769 = CHB_16452 + CHB_30089,Keq_2161,257.499402,1,,,-138.9741189,citrate(aq) = acetate(aq) + oxaloacetate(aq),citrate (pro-3S)-lyase,4.1.3.6
CHB_28543 = CHS_388344,Keq_831,46.3,1,,,3596.312627,D-lyxose(aq) = D-xylulose(aq),mannose isomerase,5.3.1.7
CHB_15343 + CHB_15428 = CHB_16857,Keq_898,-111.33368,1,,,-10253.22901,glycine(aq) + acetaldehyde(aq) = L-threonine(aq),glycine hydroxymethyltransferase,2.1.2.1
CHB_15589 + CHB_18009 = CHB_15361 + CHB_16474 + CHB_16526,Keq_2551,77.00598,1,,,-272.7822299,(S)-malate(aq) + NADP(aq) = pyruvate(aq) + NADPH(aq) + CO2(aq),malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),1.1.1.40
CHB_15422 + CHB_17552 = CHB_15996 + CHB_16761,Keq_2675,-3.59824,1,,,-3488.30242,ATP(aq) + GDP(aq) = ADP(aq) + GTP(aq),nucleoside-diphosphate kinase,2.7.4.10
CHB_15846 + CHB_28885 = CHB_15743 + CHB_16908,Keq_1735,-45.692,1,-25.75946264,-25.75946264,65547.70345,1-butanol(aq) + NAD(aq) = butanal(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_4167 = CHB_4208,Keq_59,-4.6,1,,,2066.724903,D-glucose-aldehydo(aq) = D-mannose(aq),xylose isomerase,5.3.1.5
CHB_16708 + CHB_17748 = CHB_17256 + CHB_17821,Keq_1332,-32.0076,1,,,-7022.373742,thymidine(aq) + adenine(aq) = 2'-deoxyadenosine(aq) + thymine(aq),nucleoside deoxyribosyltransferase,2.4.2.6
CHB_15846 + CHB_87393 = CHB_16908 + CHB_88528,Keq_1736,-42.4734876,1,,,64391.20719,1-hexanol(aq) + NAD(aq) = hexanal(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_15422 + CHB_17808 = CHB_16039 + CHB_16761,Keq_655,-12.702098,1,,,799.2038372,ATP(aq) + inosine 5'-diphosphate(aq) = ADP(aq) + inosine 5'-triphosphate(aq),nucleoside-diphosphate kinase,2.7.4.6
CHB_15422 + CHB_16171 = CHB_15846 + CHB_18361,Keq_421,-37.148896,1,,,-2227.14109,ATP(aq) + nicotinamide mononucleotide(aq) = NAD(aq) + pyrophosphate(aq),nicotinamide-nucleotide adenylyltransferase,2.7.7.1
CHB_16452 + CHB_16651 = CHB_15361 + CHB_15589,Keq_1463,-68.737176,1,,,-2538.493295,(S)-lactate(aq) + oxaloacetate(aq) = (S)-malate(aq) + pyruvate(aq),lactate-malate transhydrogenase,1.1.99.7
CHB_15846 + CHB_16188 = CHB_16908 + CHB_17935,Keq_1738,-39.8344,1,,,66768.53142,1-octanol(aq) + NAD(aq) = octanal(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_35425 = CHB_52742,Keq_3999,-18.162422,1,,,-8338.745526,D-ribose 1-phosphate(aq) = D-ribose 5-phosphate(aq),phosphopentomutase,5.4.2.7
CHB_16810 + CHB_29991 = CHB_16452 + CHB_29985,Keq_1384,147.627221,1,,,4729.164924,L-aspartate(aq) + 2-oxoglutarate(aq) = oxaloacetate(aq) + L-glutamate(aq),aspartate transaminase,2.6.1.1
CHB_15570 + CHB_16810 = CHB_15361 + CHB_29989,Keq_1429,98.687402,1,,,577.9210849,D-alanine(aq) + 2-oxoglutarate(aq) = pyruvate(aq) + D-glutamate(aq),D-alanine transaminase,2.6.1.21
CHB_15377 + CHB_18050 = CHB_16134 + CHB_29985,Keq_790,-36.3932598,1,-31.11048047,-31.11048047,-15755.21222,L-glutamine(aq) + H2O(l) = L-glutamate(aq) + ammonia(aq),glutaminase,3.5.1.2
CHB_15428 + CHB_16842 = CHB_17115,Keq_788,-79.91184,1,,,-20385.75418,glycine(aq) + formaldehyde(aq) = L-serine(aq),glycine hydroxymethyltransferase,2.1.2.1
CHB_15422 + CHB_17659 = CHB_15713 + CHB_16761,Keq_1146,3.80744,1,,,-10247.97219,ATP(aq) + UDP(aq) = ADP(aq) + UTP(aq),nucleoside-phosphate kinase,2.7.4.4
CHB_15422 + CHB_16192 = CHB_16761 + CHB_28862,Keq_2036,5.4392,1,,,47462.86942,ATP(aq) + dGMP(aq) = ADP(aq) + dGDP(aq),guanylate kinase,2.7.4.8
CHB_15422 + CHB_15846 = CHB_16761 + CHB_18009,Keq_2649,-143.01928,1,,,29271.41076,ATP(aq) + NAD(aq) = ADP(aq) + NADP(aq),NAD+ kinase,2.7.1.23
CHB_15589 + CHB_15846 = CHB_16452 + CHB_16908,Keq_2150,62.245239,1,62.34886597,62.34886597,70677.79626,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),malate dehydrogenase,1.1.1.37
CHB_15377 + CHB_15846 + CHB_16977 = CHB_15361 + CHB_16134 + CHB_16908,Keq_2964,5.7328832,1,,,77474.96844,L-alanine(aq) + NAD(aq) + H2O(l) = pyruvate(aq) + NADH(aq) + ammonia(aq),alanine dehydrogenase,1.4.1.1
CHB_15846 + CHB_16651 = CHB_15361 + CHB_16908,Keq_241,-6.491937,1,-56.50101481,-56.50101481,68418.09065,(S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),L-lactate dehydrogenase,1.1.1.27
CHB_15846 + CHB_16004 = CHB_15361 + CHB_16908,Keq_3557,-6.491937,1,-79.48213024,-79.48213024,66536.96766,(R)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),D-lactate dehydrogenase,1.1.1.28
CHB_15377 + CHB_18361 = 2 CHB_26078,Keq_3381,-121.079993,1,166.4865366,166.4865366,-63646.73483,pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),inorganic pyrophosphatase,3.6.1.1
CHB_16977 = CHB_15570,Keq_3369,0,1,,,0,L-alanine(aq) = D-alanine(aq),alanine racemase,5.1.1.1
CHB_15603 = CHB_28225,Keq_1646,0,1,,,0,L-leucine(aq) = D-leucine(aq),amino-acid racemase,5.1.1.10
CHB_35619 = CHB_28797,Keq_1645,0,1,,,0,L-amino-n-butyrate(aq) = D-amino-n-butyrate(aq),amino-acid racemase,5.1.1.10
CHB_29985 = CHB_29989,Keq_455,0,1,,,0,L-glutamate(aq) = D-glutamate(aq),glutamate racemase,5.1.1.3
CHB_18019 = CHB_16855,Keq_1220,0,1,,,0,L-lysine(aq) = D-lysine(aq),lysine racemase,5.1.1.5
