compound id,compound name,database annotation,link
CHB_16217,"D-glucono-1,5-lactone",,
CHB_16227,pyridine,,
CHB_16231,cis-4-hydroxy-D-proline,,
CHB_16235,guanine,,
CHB_16236,ethanol,,
CHB_16238,flavin-adenine dinucleotide,,
CHB_16240,H2O2,,
CHB_16256,2-methyl-3-oxopropanoate,,
CHB_16259,N-acetyl-L-phenylalanine,,
CHB_16264,UDP-N-acetyl-D-glucosamine,,
CHB_16283,cystine_0,,
CHB_16284,dATP,,
CHB_16290,"(3,5)-cholesta-7,24-diene-3-ol",,
CHB_16298,D-mannitol-1-phosphate,,
CHB_16308,sucrose 6-phosphate,,
CHB_16311,dCTP,,
CHB_16332,D-xylulose 5-phosphate,,
CHB_16335,adenosine,,
CHB_16342,L-5-carboxymethylhydantoin,,
CHB_16344,guanidinoacetate,,
CHB_16347,L-carnitine,,
CHB_16349,L-citrulline,,
CHB_16356,"guanosine 3 ',5 '-cyclic phosphate",,
CHB_16383,cis-aconitate,,
CHB_16410,pyridoxamine,,
CHB_16411,indole-3-acetic acid,,
CHB_16414,L-valine,,
CHB_16422,"4-androstene-3,17-dione",,
CHB_16426,3-(imidazol-4-yl)-2-oxopropyl phosphate,,
CHB_16436,CDPcholine,,
CHB_16439,N-(carboxymethyl)-D-alanine,,
CHB_16450,Deoxyuridine,,
CHB_16452,oxaloacetate,,
CHB_16454,pantothenate,,
CHB_16457,dimethylpropiothetin,,
CHB_16459,n-pentanamide,,
CHB_16467,L-arginine,,
CHB_16469,estradiol-17,,
CHB_16472,2-pentanone,,
CHB_16474,NADPH,,
CHB_16497,dGTP,,
CHB_16508,cis-cis-hexadienedioate,,
CHB_16510,3-hydroxypropanoate,,
CHB_16517,trimetaphosphate,,
CHB_16523,D-serine,,
CHB_16526,CO2,,
CHB_16532,benzyloxycarbonylglycine,,
CHB_16543,N-2-acetyl-L-ornithine,,
CHB_16547,coniferyl aldehyde,,
CHB_16551,",-trehalose",,
CHB_16584,isopentenyl diphosphate,,
CHB_16585,lombricine,,
CHB_16594,"2,4-diaminopentanoate",,
CHB_16602,trichloroethylene (TCE),,
CHB_16621,phosphotaurocyamine,,
CHB_16622,2-deoxy-3-dehydro-D-gluconate,,
CHB_16625,methylmalonyl-CoA,,
CHB_16629,2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,,
CHB_16634,raffinose,,
CHB_16643,L-methionine,,
CHB_16650,UDP-N-acetyl-D-galactosamine,,
CHB_16651,(S)-lactate,,
CHB_16659,glycerate,,
CHB_16680,S-adenosyl-L-homocysteine,,
CHB_16695,UMP,,
CHB_16704,uridine,,
CHB_16705,6-aminopenicillanic acid,,
CHB_16708,adenine,,
CHB_16709,pyridoxine,,
CHB_16710,"D-ribulose 1,5-biphosphate",,
CHB_16716,benzene,,
CHB_16724,4-hydroxybutanoate,,
CHB_16729,formyl phosphate,,
CHB_16732,CDPethanolamine,,
CHB_16737,creatinine_0,,
CHB_16750,guanosine,,
CHB_16758,3-dehydrocarnitine,,
CHB_16761,ADP,,
CHB_16763,2-oxobutanoate,,
CHB_16769,2-oxoglutaramate,,
CHB_16787,1-phospho--D-glucuronate,,
CHB_16806,xanthine-8-carboxylate,,
CHB_16810,2-oxoglutarate,,
CHB_16813,galactitol,,
CHB_16815,enol-phenylpyruvate,,
CHB_16821,oxoproline_-1,,
CHB_16828,L-tryptophan,,
CHB_16830,methylamine,,
CHB_16836,4-nitrophenol,,
CHB_16842,formaldehyde,,
CHB_16848,Coenzyme F420,,
CHB_16855,D-lysine,,
CHB_16856,glutathione (reduced),,
CHB_16857,L-threonine,,
CHB_16881,indole,,
CHB_16891,glyoxylate,,
CHB_16899,D-mannitol,,
CHB_16908,NADH,,
CHB_16918,"3,4,5-trihydroxybenzoate",,
CHB_16919,creatine,,
CHB_16924,5-oxo-D-proline,,
CHB_16927,"N6-(L-1,3-dicarboxypropyl)-L-lysine",,
CHB_16938,"D-glucono-1,5-lactone 6-phosphate",,
CHB_16943,3-oxo-L-threonate,,
CHB_16958,beta-alanine,,
CHB_16960,ADPribose,,
CHB_16977,L-alanine,,
CHB_16982,"(R,R)-2,3-butanediol",,
CHB_16984,N-acetylimidazole,,
CHB_16992,2-hydroxy-3-oxopropanoate,,
CHB_16995,oxalate-2,,
CHB_16996,L-histidinol phosphate,,
CHB_16997,"1,2-propanediol",,
CHB_17032,2-oxo-3-deoxy-D-gluconate,,
CHB_17044,D-sorbitol 6-phosphate,,
CHB_17057,cellobiose,,
CHB_17063,erythrulose 1-phosphate,,
CHB_17069,3-hydroxybenzyl alcohol,,
CHB_17071,glycolaldehyde,,
CHB_17081,dimethylmaleate,,
CHB_17094,2-dehydropantoate,,
CHB_17111,5-phospho--D-ribose 1-diphosphate,,
CHB_17115,L-serine,,
CHB_17131,"(3,5-diiodo-4-hydroxyphenyl)pyruvate",,
CHB_17151,xylitol,,
CHB_17153,propanal,,
CHB_17154,nicotinamide,,
CHB_17158,methylglyoxal,,
CHB_17164,stachyose,,
CHB_17169,benzaldehyde,,
CHB_17170,Dimethylamine_+1,,
CHB_17172,Deoxyguanosine,,
CHB_17191,L-isoleusine,,
CHB_17196,L-asparagine,,
CHB_17200,UDP-D-glucuronate,,
CHB_17201,glycylglycine_0,,
CHB_17202,IMP,,
CHB_17203,(S)-proline,,
CHB_17207,2-methyleneglutarate,,
CHB_17228,taurocyamine,,
CHB_17231,m-cresol,,
CHB_17239,CDP,,
CHB_17256,2'-deoxyadenosine,,
CHB_17259,"CDP-3,6-dideoxy-D-mannose",,
CHB_17263,estrone,,
CHB_17268,myo-inositol,,
CHB_17272,propionate,,
CHB_17279,"N-succinyl-L-2,6-diaminoheptanedioate",,
CHB_17282,indole-3-lactate,,
CHB_17287,phosphocreatine,,
CHB_17295,L-phenylalanine,,
CHB_17296,aniline,,
CHB_17300,perchloroethylene (PCE),,
CHB_17306,maltose,,
CHB_17310,pyridoxal,,
CHB_17345,guanosine 5 '-phosphate,,
CHB_17347,4-androstene-17-ol-3-one,,
CHB_17351,"9-cis,12-cis-octadecadienoate",,
CHB_17361,CMP,,
CHB_17363,D-ribulose 5-phosphate,,
CHB_17368,hypoxanthine,,
CHB_17378,(R)-glyceraldehyde,,
CHB_17410,tetrahydroxypteridine,,
CHB_17418,pentanoic acid,,
CHB_17434,trimethylsulfonium,,
CHB_17436,(R)-5-phosphomevalonate,,
CHB_17437,dimethylsulfide,,
CHB_17440,4-nitrophenyl phosphate,,
CHB_17460,lipoamide,,
CHB_17479,enol-oxaloacetate,,
CHB_17489,adenosine 3':5'-(cyclic)phosphate,,
CHB_17490,L-palmitoylcarnitine,,
CHB_17505,1--D-galactosyl-myo-inositol,,
CHB_17509,5'-methylthioadenosine,,
CHB_17535,L-arabinose,,
CHB_17536,allantoate,,
CHB_17544,carbon dioxide,,
CHB_17552,GDP,,
CHB_17553,O-phosphorylethanolamine,,
CHB_17561,L-cysteine,,
CHB_17562,cytidine,,
CHB_17566,3-indoleacetonitrile,,
CHB_17568,uracil,,
CHB_17578,toluene,,
CHB_17586,CoA-glutathione,,
CHB_17588,L-homocysteine,,
CHB_17590,n-octane,,
CHB_17596,inosine,,
CHB_17616,retinyl palmitate,,
CHB_17621,FMN(oxidized),,
CHB_17622,dUMP,,
CHB_17625,dUTP,,
CHB_17640,indole-3-pyruvate,,
CHB_17645,N-acetyl-L-amino-n-butyrate,,
CHB_17647,2-dehydro-3-deoxy-L-pentonate,,
CHB_17656,D-mandelic acid,,
CHB_17659,UDP,,
CHB_17665,alpha-D-Glucose 6-phosphate,,
CHB_17666,L-ribulose 5-phosphate,,
CHB_17672,carbamoyl phosphate,,
CHB_17677,CTP,,
CHB_17694,dihydrolipoamide,,
CHB_17709,adenylyl sulfate,,
CHB_17712,xanthine,,
CHB_17713,dAMP,,
CHB_17719,beta-D-Glucose 6-phosphate,,
CHB_17724,"N,N-dimethylglycine",,
CHB_1774,4-(trimethylammonio)but-2-enoate,,
CHB_17742,4-hydroxy-2-oxoglutarate,,
CHB_17745,coniferyl alcohol,,
CHB_17748,thymidine,,
CHB_17750,betaine,,
CHB_17754,glycerol,,
CHB_17775,urate,,
CHB_17778,2-oxo-3-hydroxybutanedioic acid,,
CHB_17790,methanol,,
CHB_17794,(R)-3-phosphoglycerate,,
CHB_17808,IDP,,
CHB_17821,thymine,,
CHB_17824,2-propanol,,
CHB_17835,2-phospho-D-glycerate,,
CHB_17847,p-cresol,,
CHB_17854,cyclohexanone,,
CHB_17857,4-methyl-5-(2-phosphonoxyethyl)-thiazole,,
CHB_17858,glutathoine(ox),,
CHB_17859,glutaric acid,,
CHB_17860,2-dehydro-3-deoxy-D-galactonate 6-phosphate,,
CHB_17877,reduced flavin-adenine dinucleotide,,
CHB_17886,D-tagaturonate,,
CHB_17895,L-tyrosine,,
CHB_17898,all-trans-retinal,,
CHB_17924,D-sorbitol,,
CHB_17935,octanal,,
CHB_17957,4-methyl-5-(2'-hydroxyethyl)-thiazole,,
CHB_17980,3'-phosphoadenylylsulfate,,
CHB_17981,O-acetyl-L-serine,,
CHB_17983,UDP-L-arabinose,,
CHB_17985,"adenosine 3',5'-biphosphate",,
CHB_17987,benzyl alcohol,,
CHB_17992,sucrose,,
CHB_18009,NADP,,
CHB_18019,L-lysine,,
CHB_18021,phosphoenolpyruvate,,
CHB_18022,thiocyanate,,
CHB_18026,"2,3-dihydroxybenzoic acid",,
CHB_18036,triphosphate,,
CHB_18038,GDP-L-galactose,,
CHB_18039,N-w-phospholombricine,,
CHB_18041,(S)-lactaldehyde,,
CHB_18047,dihydro--lipoate,,
CHB_18050,L-glutamine,,
CHB_18051,L-aspartate-4-semialdehyde,,
CHB_18058,oxamate,,
CHB_18066,UDPglucose,,
CHB_18075,dTDP,,
CHB_18077,dTTP,,
CHB_18080,"2,5-dihydro-5-oxofuran-2-acetate",,
CHB_18089,hippurate,,
CHB_18090,3-aminopropionaldehyde,,
CHB_18095,trans-4-hydroxy-L-proline,,
CHB_18099,cyclohexanol,,
CHB_18104,2-dehydro-3-deoxy-D-fuconate,,
CHB_18107,xanthosine,,
CHB_18110,3-phosphonooxypyruvate,,
CHB_18124,2-phosphonoacetaldehyde,,
CHB_18132,O-phosphocholine,,
CHB_18139,Trimethylamine,,
CHB_18147,beta-maltose,,
CHB_18148,"D-glucose 1,6-diphosphate",,
CHB_18150,2-dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,,
CHB_18153,ethylene,,
CHB_18202,L-iditol,,
CHB_18208,penicillin G,,
CHB_18252,"(3,5)-cholesta-8,24-diene-3-ol",,
CHB_18261,3-ureidopropanoic acid,,
CHB_18276,H2,,
CHB_18283,",-trehalose 6-phosphate",,
CHB_18299,1-(indol-3-yl)glycerol 3-phosphate,,
CHB_18307,UDPgalactose,,
CHB_18314,L-norvaline,,
CHB_18319,N-(5-amino-1--D-ribosyl-4-imidazoyl-carbonyl)-L-aspartic acid 5'-phosphate,,
CHB_18333,D-arabitol,,
CHB_18334,adenosine 5'-tetraphosphate,,
CHB_18347,L-norleucine,,
CHB_18361,diphosphate,,
CHB_18381,1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,,
CHB_18385,thiamine,,
CHB_18391,D-gluconate,,
CHB_18394,palatinose,,
CHB_18406,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,,
CHB_18411,laminaribiose,,
CHB_18412,N-w-phospho-L-arginine,,
CHB_18415,N-formiminoglycine,,
CHB_18428,1-sinapoylD-glucose,,
CHB_18855,"1,2,3,4-Tetrachlorobenzene",,
CHB_18860,"1,2,3-Trichlorobenzene",,
CHB_1989,"5,10-methylenetetrahydrofolate",,
CHB_19984,3-Chlorobenzoate,,
CHB_21282,"L-erythro-3,5-diaminohexanoate",,
CHB_21371,L-phenylalaninamide,,
CHB_21557,N-acetyl-L-methionine,,
CHB_21563,N-acetyl-L-tyrosine,,
CHB_2181,L-fucose,,
CHB_21949,L-butyrylcarnitine,,
CHB_2255,7-aminocephalosporanic acid,,
CHB_23292,cis-3-hexenal,,
CHB_23975,ethane,,
CHB_24579,1-hexene,,
CHB_25462,n-butane,,
CHB_25888,n-pentane,,
CHB_25979,benzyl cyanide,,
CHB_26078,orthophospate,,
CHB_2676,amoxicillin,,
CHB_2700,anandamide,,
CHB_271436,dimethylethanolamine,,
CHB_27247,urocanate,,
CHB_27384,"4,5-dihydro-4-oxo-5-imidazolepropanoate",,
CHB_27385,Carbon tetrachloride,,
CHB_27445,maltohexaose,,
CHB_27446,phenoxymethylpenicillin,,
CHB_27469,2-oxo-D-gluconate,,
CHB_27470,pteroylglutamate,,
CHB_27480,phenylacetylglycine,,
CHB_27541,inosine 3':5'-(cyclic)phosphate,,
CHB_27612,hydantoin,,
CHB_27625,D-glucosamine 1-phosphate,,
CHB_27648,3-oxohexanoyl-CoA,,
CHB_27652,cytidine 2':3'-(cyclic)phosphate,,
CHB_27671,cis-trans-hexadienedioate,,
CHB_27708,diethyl phosphate,,
CHB_27713,(S)-5-amino-3-oxohexanoate,,
CHB_27750,ethyl_acetate,,
CHB_27789,"1,2-Dichloroethane",,
CHB_27836,dodecanal,,
CHB_27839,2-Fluorobenzoate,,
CHB_27844,adenosine 2':3'-(cyclic)phosphate,,
CHB_27856,acetamide,,
CHB_27859,5-methylthio-D-ribose 1-phosphate,,
CHB_27869,Monochloroacetic acid,,
CHB_27893,4-Fluorobenzoate,,
CHB_27913,L-erythrulose,,
CHB_27931,maltotriose,,
CHB_27973,D-arabino-3-hexulose 6-phosphate,,
CHB_27991,benzonitrile,,
CHB_28053,D-melibiose,,
CHB_28054,o-cresol,,
CHB_28066,gentiobiose,,
CHB_28072,guanosine 3'-monophosphate,,
CHB_28131,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetyl-D-glucosamine,,
CHB_28181,guanosine 2':3'-(cyclic)phosphate,,
CHB_28187,2-hydroxymethylserine,,
CHB_28189,isomaltose,,
CHB_28225,D-leucine,,
CHB_28276,(3S)-3-hydroxyhexanoyl-CoA,,
CHB_28413,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,,
CHB_28509,vinyl chloride (VC),,
CHB_28543,D-lyxose,,
CHB_28552,D-ribulose,,
CHB_28631,3-phenylpropanoic acid,,
CHB_28637,uridine 2':3'-(cyclic)phosphate,,
CHB_28644,2-oxovalerate,,
CHB_28665,3-Fluorobenzoate,,
CHB_28706,trans-hex-2-enoyl-CoA,,
CHB_28777,"(2S)-4',7-dihydroxyflavanone",,
CHB_28797,D-amino-n-butyrate,,
CHB_28805,"cis-1,2-dichloroethylene (cis-1,2-DCE)",,
CHB_28826,CH3F,,
CHB_28828,N-acetyl-L-tyrosine ethyl ester,,
CHB_28831,propan-1-ol,,
CHB_28837,n-octanoic acid,,
CHB_28843,Aminoimidazole ribotide,,
CHB_28846,dCDP,,
CHB_28850,dUDP2-,,
CHB_28857,cis-3-hexene-1-ol,,
CHB_28862,dGDP,,
CHB_28885,1-butanol,,
CHB_28895,uridine 3'-monophosphate,,
CHB_28907,"2,3-bpg_-4",,
CHB_28931,adenosine 3'-monophosphate,,
CHB_28939,N-acetyl-L-cysteine,,
CHB_28971,ampicillin,,
CHB_28997,2'-deoxyinosine,,
CHB_29005,cyclohexane,,
CHB_29019,nonanoic acid,,
CHB_29021,n-hexane,,
CHB_29025,N-glycolylneuraminate,,
CHB_29027,"trans-1,2-dichloroethylene (trans-1,2,-DCE)",,
CHB_29052,D-glyceraldehyde-3-phosphate,,
CHB_29748,chorismate,,
CHB_29751,quinate,,
CHB_29780,isochorismate,,
CHB_29805,glycolate,,
CHB_29806,fumarate,,
CHB_29985,L-glutamate,,
CHB_29989,D-glutamate,,
CHB_29991,L-aspartate,,
CHB_30023,sinapate,,
CHB_30031,succinate,,
CHB_30089,acetate,,
CHB_30308,meso-diaminoheptanedioate,,
CHB_30313,lipoate,,
CHB_30362,2-methylbutane (Isopentane),,
CHB_30363,2-methylpropane (isobutane),,
CHB_30407,4-phospho-L-aspartate,,
CHB_30531,H-pimelate-,,
CHB_30566,4-aminobutanoate,,
CHB_30633,L-pipecolate,,
CHB_30719,2-methylmaleate,,
CHB_30742,ethylene glycol,,
CHB_30744,keto-oxaloacetate,,
CHB_30745,phenylacetic acid,,
CHB_30746,benzoic acid,,
CHB_30747,4-Chlorobenzoate,,
CHB_30748,"2,4-Dichlorobenzoate",,
CHB_30753,4-aminobenzoic acid,,
CHB_30754,2-aminobenzoic acid,,
CHB_30763,4-hydroxybenzoic acid,,
CHB_30764,3-hydroxybenzoic acid,,
CHB_30769,citrate,,
CHB_30772,butanoate,,
CHB_30776,hexanoic acid,,
CHB_30780,maleate,,
CHB_30793,2-Chlorobenzoate,,
CHB_30794,malonic acid,,
CHB_30805,1-dodecanoic acid,,
CHB_30813,n-decanoic acid,,
CHB_30832,H-adipate-,,
CHB_30839,orotate,,
CHB_30841,hydroxypyruvate,,
CHB_30851,phenylpyruvate,,
CHB_30863,oxonic acid,,
CHB_30864,(S)-dihydroorotate,,
CHB_30912,D-1-piperidine-2-carboxylate,,
CHB_30918,3-dehydroshikimate,,
CHB_30934,(R)-2-methylmalate,,
CHB_30935,3-phosphonopyruvate,,
CHB_30936,(S)-2-methylmalate,,
CHB_30955,"1,3,5-Trichlorobenzene",,
CHB_30956,Trichloroacetic acid,,
CHB_310312,"2',4,4'-trihydroxychalcone",,
CHB_31328,butyl acetate,,
CHB_31457,decanal,,
CHB_320061,methyl-D-glucopyranoside,,
CHB_32364,3-dehydroquinate,,
CHB_32368,undecanoic acid,,
CHB_32498,"1,2-Dichlorobenzene",,
CHB_32796,(R)-2-hydroxyglutarate,,
CHB_32797,hydroxyglutarate_-2,,
CHB_32798,"9-cis,11-trans-octadecadienoate",,
CHB_32879,propane,,
CHB_32891,n-heptane,,
CHB_33190,3-oxopropanoate,,
CHB_34024,"1,1,1,2-Tetrachloroethane",,
CHB_34031,"1,1-dichloroethylene (1,1-DCE)",,
CHB_34036,"1,2,3-Trichloropropane",,
CHB_34241,"2,4 dimethylphenol",,
CHB_34787,heptanal,,
CHB_3480,cefamandole,,
CHB_35026,triethylamine,,
CHB_35181,4-amino-4-deoxychorismate,,
CHB_35242,CDPglucose,,
CHB_35255,Chloroform,,
CHB_35266,N-succinyl-2-L-amino-6-oxoheptanedioate,,
CHB_3528,cellotriose,,
CHB_3534,cephalexin,,
CHB_3537,cephaloridine,,
CHB_35374,D-mannose 1-phosphate,,
CHB_35418,N-acetylneuraminate,,
CHB_35422,4-nitrophenol sulfate,,
CHB_35425,D-ribose 1-phosphate,,
CHB_35619,ABA (a-aminobutyric acid),,
CHB_35687,(1)-2-butanol,,
CHB_35697,trans-cinnamate,,
CHB_35986,1-nonanol,,
CHB_36015,"1,1,1-Trichloroethane",,
CHB_36018,"1,1,2-Trichloroethane",,
CHB_36026,"1,1,2,2-Tetrachloroethane",,
CHB_36219,lactose,,
CHB_36229,allolactose,,
CHB_3623,Monochlorobenzene,,
CHB_36242,4-hydroxyphenylpyruvate,,
CHB_36386,Dichloroacetic acid,,
CHB_36602,2-keto-L-gulonate,,
CHB_36632,o-toluic acid,,
CHB_36635,4-methylbenzoic acid,,
CHB_36693,"1,3-Dichlorobenzene",,
CHB_36696,"1,2,3,5-Tetrachlorobenzene",,
CHB_36697,"1,2,4,5-Tetrachlorobenzene",,
CHB_36698,Pentachlorobenzene,,
CHB_36761,D-1-pyrroline-2-carboxylate,,
CHB_36926,trans-but-2-enoyl-coenzyme A,,
CHB_36986,2-methylfumarate,,
CHB_37023,L-2-aminoadipate,,
CHB_37050,DL-3-hydroxybutanoyl-CoA,,
CHB_37480,D-galactose 1-phosphate,,
CHB_37515,D-fructose 1-phosphate,,
CHB_37548,phenyl phosphate,,
CHB_37680,L-mannose,,
CHB_37721,D-fructose,,
CHB_37725,L-fructose,,
CHB_38572,"3,5-dimethylphenol",,
CHB_38825,Tetrafluoromethane,,
CHB_39227,Hexachloroethane,,
CHB_39360,"3,5-dinitrophenol",,
CHB_39839,"3,4-dimethylphenol",,
CHB_39870,1-propanamine (propylamine),,
CHB_40585,cyclomaltohexaose,,
CHB_40595,"D-fructose 1,6-bisphosphate",,
CHB_40730,"adenosine 5'-(,-methylene)diphosphate",,
CHB_4093,D-allose,,
CHB_40992,N-acetyl-L-alanine,,
CHB_41189,"butane-1,4-diol",,
CHB_41218,2-mercaptoethanol,,
CHB_4126,D-fructuronate,,
CHB_4139,D-galactose,,
CHB_4141,D-galactose 6-phosphate,,
CHB_41500,4-phenylbutanoic acid,,
CHB_4153,D-galacturonate,,
CHB_4167,D-glucose,,
CHB_4170,D-glucose 6-phosphate,,
CHB_41865,sebacic acid,,
CHB_420128,2-Hydroxy-5-chlorobenzoate,,
CHB_4208,D-mannose,,
CHB_42090,L-threitol,,
CHB_42383,monoethyl phosphate,,
CHB_4249,D-tagatose,,
CHB_42630,n-propylbenzene,,
CHB_42682,3-aminobenzoic acid,,
CHB_4280,"D-threo-2,4-diaminopentanoate",,
CHB_42843,glycinamide,,
CHB_43799,1-butanamine (butylamine),,
CHB_43896,D-mannose 6-phosphate,,
CHB_439819,L-phenylglycine,,
CHB_44194,n-butylbenzene,,
CHB_44337,N-acetyl-L-glutamate,,
CHB_44884,1-pentanol,,
CHB_44962,D(-)--aminophenylacetic acid,,
CHB_45074,pentanal,,
CHB_4519,Diethanolamine,,
CHB_45422,propanamide,,
CHB_45506,D-ribose,,
CHB_45571,heptanoic acid,,
CHB_45616,(R)-(+)-1-phenyl ethanol,,
CHB_45807,2-thienylacetic acid,,
CHB_45868,dTDP-6-deoxy-L-lyxo-4-hexulose,,
CHB_45895,2-methyl-2-propanol,,
